職缺內容,公司名稱,內容,地址,薪資,網址
【軟體】Data Scientist 數據分析師,香港商聲吶天空資訊顧問有限公司,,台北市南港區,待遇面議,//www.104.com.tw/job/7ajry?jobsource=hotjob_chr
UI/UX Designer,創順科技有限公司,,台北市內湖區,"月薪50,000~80,000元",//www.104.com.tw/job/5qe6w?jobsource=hotjob_chr
電動自行車產測軟體工程師,光聯輕電股份有限公司,,新北市土城區,"月薪30,000~70,000元",//www.104.com.tw/job/7chgf?jobsource=hotjob_chr
資深後端⼯程師 / Senior Backend Engineer,恒遠科技有限公司,,台北市大安區,"月薪90,000元以上",//www.104.com.tw/job/7cgky?jobsource=hotjob_chr
【建設】資訊企劃副理/科長,遠雄建設事業股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7cqxc?jobsource=hotjob_chr
電動自行車雲端應用工程師,光聯輕電股份有限公司,,新北市土城區,"月薪30,000~70,000元",//www.104.com.tw/job/7al1r?jobsource=hotjob_chr
軟體技術主管,恒遠科技有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7be63?jobsource=hotjob_chr
Python Backend Developer,台灣恩悌悌數據股份有限公司,,台北市中正區,待遇面議,//www.104.com.tw/job/73gvl?jobsource=jolist_d_relevance
Senior Web Developer (Python),仰得股份有限公司,,台北市松山區,"月薪75,000~95,000元",//www.104.com.tw/job/79ynk?jobsource=jolist_d_relevance
Python 軟體工程師 Python Software Engineer,百睿達有限公司,,台北市中正區,"月薪60,000~80,000元",//www.104.com.tw/job/7b5pb?jobsource=jolist_d_relevance
Python Web Developer,StreetVoice _街聲股份有限公司,,台北市松山區,"月薪40,000~60,000元",//www.104.com.tw/job/7982k?jobsource=jolist_d_relevance
Python工程師,烽泰科技有限公司,,台北市大同區,待遇面議,//www.104.com.tw/job/7cmyo?jobsource=jolist_d_relevance
軟體應用工程師 C# or Python (FAE),和瑞科技股份有限公司,,新竹縣竹北市,待遇面議,//www.104.com.tw/job/5esa0?jobsource=jolist_d_relevance
Python Data Engineer,現觀科技股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/7bdr9?jobsource=jolist_d_relevance
Python 工程師,固特斯股份有限公司,,台中市西區,"月薪35,000~55,000元",//www.104.com.tw/job/6ii07?jobsource=jolist_d_relevance
Python Engineer,瞬聯科技股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7aboj?jobsource=jolist_d_relevance
Python Backend Engineer,禾向數位科技有限公司,,台北市內湖區,"月薪40,000~80,000元",//www.104.com.tw/job/71i7c?jobsource=jolist_d_relevance
Python工程師,米約科技有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6zey2?jobsource=jolist_d_relevance
Python 後端工程師,創奕能源科技股份有限公司,,桃園市中壢區,待遇面議,//www.104.com.tw/job/718o5?jobsource=jolist_d_relevance
Python工程師,愛恩科技股份有限公司,,新北市汐止區,"月薪40,000元以上",//www.104.com.tw/job/7c3ft?jobsource=jolist_d_relevance
Software Engineer(Python),臺灣發展軟體科技股份有限公司,,台北市內湖區,"月薪65,000~80,000元",//www.104.com.tw/job/76e5f?jobsource=jolist_d_relevance
Python Developer,文境資科股份有限公司,,台北市大安區,"月薪35,000元以上",//www.104.com.tw/job/6x67u?jobsource=jolist_d_relevance
Python -工程師,汎神國際有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/765lj?jobsource=jolist_d_relevance
【IT】3D軟體開發工程師(C++、Python),裕榮昌科技股份有限公司台中分公司,,台中市太平區,待遇面議,//www.104.com.tw/job/72puc?jobsource=jolist_d_relevance
Python工程師,雋上科技有限公司,,台中市南屯區,"月薪40,000~50,000元",//www.104.com.tw/job/5gd1u?jobsource=jolist_d_relevance
Python程式設計師,麟數據科技股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/6uj6n?jobsource=jolist_d_relevance
Python工程師,緯德科技股份有限公司 (TechLink Corporation),,台北市松山區,待遇面議,//www.104.com.tw/job/695ve?jobsource=jolist_d_relevance
Python Developer,文境資科股份有限公司,,台北市大安區,"月薪35,000元以上",//www.104.com.tw/job/6x67u?jobsource=jolist_b_relevance
Python 資料分析師,干城數碼有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6vg27?jobsource=jolist_b_relevance
Python Software Engineer,hyve solutions_海峰電腦股份有限公司,,桃園市龜山區,待遇面議,//www.104.com.tw/job/5tobs?jobsource=jolist_b_relevance
Python開發工程師,明瑞資通科技股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/7cdlc?jobsource=jolist_b_relevance
資深Python工程師,米約科技有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/7469r?jobsource=jolist_b_relevance
Python全端工程師,宏佳騰動力科技股份有限公司,,新北市板橋區,待遇面議,//www.104.com.tw/job/6s9aa?jobsource=jolist_b_relevance
python後端工程師,金富達科技股份有限公司,,台中市北屯區,"月薪28,000~50,000元",//www.104.com.tw/job/7632k?jobsource=jolist_b_relevance
Python工程師,緯德科技股份有限公司 (TechLink Corporation),,台北市松山區,待遇面議,//www.104.com.tw/job/695ve?jobsource=jolist_b_relevance
Python 程式設計師,綠界科技股份有限公司,,台北市南港區,"月薪40,000~60,000元",//www.104.com.tw/job/6p5b1?jobsource=jolist_b_relevance
Python程式設計師,麟數據科技股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/6uj6n?jobsource=jolist_b_relevance
(Big Data Team) Python Backend Engineer,伊諾科技有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/6ucvg?jobsource=jolist_b_relevance
Python工程師,愛恩科技股份有限公司,,新北市汐止區,"月薪40,000元以上",//www.104.com.tw/job/7c3ft?jobsource=jolist_b_relevance
Backend Engineer (Python)─ 後端工程師 (Python),英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,,台北市信義區,待遇面議,//www.104.com.tw/job/713pm?jobsource=jolist_b_relevance
開發運維工程師(Python) DevOps Engineer,倫發科技有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/70v91?jobsource=jolist_b_relevance
Backend Python Developer,台灣米高蒲志國際股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7c2tu?jobsource=jolist_b_relevance
【IT】3D軟體開發工程師(C++、Python),裕榮昌科技股份有限公司台中分公司,,台中市太平區,待遇面議,//www.104.com.tw/job/72puc?jobsource=jolist_b_relevance
python工程師,大拇哥證券投資顧問股份有限公司,,台北市大安區,"年薪600,000~1,200,000元",//www.104.com.tw/job/7btly?jobsource=jolist_b_relevance
Python programmer/data scientist for quantitative trading,中塑油品股份有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/70dmc?jobsource=jolist_b_relevance
Python工程師(可遠端工作),博思資訊管理顧問有限公司,,高雄市鼓山區,"月薪60,000~90,000元",//www.104.com.tw/job/78f5b?jobsource=jolist_b_relevance
Python Software Engineer,保誠人壽保險股份有限公司_總公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7ceaz?jobsource=jolist_b_relevance
後端工程師(Python),台灣幣蜂數位有限公司,,台北市內湖區,"月薪60,000~85,000元",//www.104.com.tw/job/7aecq?jobsource=jolist_a_relevance
Python工程師,博賢智能科技有限公司,,澳門特別行政區,待遇面議,//www.104.com.tw/job/77m2i?jobsource=jolist_a_relevance
Python 全端工程師 (初階),奔騰網路科技股份有限公司,,台北市中正區,"月薪45,000元以上",//www.104.com.tw/job/784yx?jobsource=jolist_a_relevance
Python 後端工程師,莫比無限科技股份有限公司,,新北市新店區,"月薪60,000元以上",//www.104.com.tw/job/7azfj?jobsource=jolist_a_relevance
Python 後端工程師 (歡迎應屆畢業生),大慶證券股份有限公司_總管理處,,台北市中山區,待遇面議,//www.104.com.tw/job/7bu9e?jobsource=jolist_a_relevance
python程式開發工程師(台北),友宏整合行銷有限公司,,台北市南港區,"月薪35,000元以上",//www.104.com.tw/job/72tds?jobsource=jolist_a_relevance
Full-Stack Developer_Java & Python,雲端互動股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7cqlh?jobsource=jolist_a_relevance
Android QA Python測試工程師(資工系應畢),台灣愛渠西來技術股份有限公司,,新北市板橋區,"年薪650,000~1,000,000元",//www.104.com.tw/job/7aj5q?jobsource=jolist_a_relevance
python程式開發工程師(新竹),友宏整合行銷有限公司,,新竹市,"月薪35,000元以上",//www.104.com.tw/job/6kw07?jobsource=jolist_a_relevance
(Big Data Team) Senior Python Data Engineer,伊諾科技有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/6qwx5?jobsource=jolist_a_relevance
Sr. Back-end Developer 資深後端工程師 (Python),巡辰股份有限公司,,台北市中正區,"年薪750,000~1,200,000元",//www.104.com.tw/job/7cgjs?jobsource=jolist_a_relevance
資深後端工程師 Sr. Back-end Engineer ( Python ),創順科技有限公司,,台北市內湖區,"月薪80,000~160,000元",//www.104.com.tw/job/5oxur?jobsource=jolist_a_relevance
Python程式講師-新竹分校,聯成電腦有限公司(聯成電腦/聯成外語),,新竹市,"時薪300~1,200元",//www.104.com.tw/job/5y4rk?jobsource=jolist_a_relevance
(真摯徵求) Python後端工程師,伊諾科技有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/70asp?jobsource=jolist_a_relevance
資深後端系統工程師 (Python),美商美創資通股份有限公司台灣分公司,,台北市中山區,待遇面議,//www.104.com.tw/job/4mfzt?jobsource=jolist_a_relevance
產品全端工程師-React & Python,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7bltx?jobsource=jolist_a_relevance
資深後端工程師(python),台灣幣蜂數位有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/7aeco?jobsource=jolist_a_relevance
Python AI_技能教學講師(不限區域),巨匠電腦股份有限公司(巨匠電腦)(巨匠美語),,台北市中正區,"時薪800~1,200元",//www.104.com.tw/job/6qwlo?jobsource=jolist_a_relevance
專案全端工程師（偏前端）React & Python,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,,台北市信義區,待遇面議,//www.104.com.tw/job/6u37f?jobsource=jolist_a_relevance
Python後端工程師(台中總部),誠雲科技股份有限公司,,台中市西屯區,"月薪26,000~45,000元",//www.104.com.tw/job/4cifp?jobsource=jolist_a_relevance
Backend Engineer (Python)─ 後端工程師 (Python),英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,,台北市信義區,待遇面議,//www.104.com.tw/job/713pm?jobsource=jolist_c_relevance
Android 測試工程師Jave or Python (無經驗可),台灣愛渠西來技術股份有限公司,,新北市板橋區,"年薪650,000~1,000,000元",//www.104.com.tw/job/7aiqr?jobsource=jolist_c_relevance
Python開發工程師(工作地:新竹工業區_湖口),鴻佰科技股份有限公司,,新竹縣湖口鄉,"月薪35,000~65,000元",//www.104.com.tw/job/75lyf?jobsource=jolist_c_relevance
"技術支援類: Application Engineer (有光罩經驗,MASK/OPC,UNIX/Linux,Python,Perl者佳 )","Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",,新竹縣竹北市,待遇面議,//www.104.com.tw/job/6wa7k?jobsource=jolist_c_relevance
[高雄] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,,高雄市前鎮區,待遇面議,//www.104.com.tw/job/75ae4?jobsource=jolist_c_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師 (Microsoft),Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7bmjs?jobsource=jolist_c_relevance
(Big Data Team) Python Backend Engineer,伊諾科技有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/6ucvg?jobsource=jolist_c_relevance
【實習/工讀】軟體工程師(Java/Python),艾斯移動股份有限公司,,台北市大安區,時薪160元,//www.104.com.tw/job/6rj5s?jobsource=jolist_c_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,,台北市大安區,待遇面議,//www.104.com.tw/job/73xzq?jobsource=jolist_c_relevance
Python 資料科學工程師 - 中階,台灣競遊智慧網路有限公司,,台北市中山區,"月薪60,000元以上",//www.104.com.tw/job/7bwo5?jobsource=jolist_c_relevance
資訊部Python 工程師,童綜合醫療社團法人童綜合醫院,,台中市梧棲區,"月薪35,000~80,000元",//www.104.com.tw/job/6upji?jobsource=jolist_c_relevance
Big Data Back-End Developer_Python 大數據後端開發工程師,雲端互動股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7bsn0?jobsource=jolist_c_relevance
後端工程師 Python Engineer,全富數位有限公司,,台中市北區,"月薪50,000~120,000元",//www.104.com.tw/job/6izvs?jobsource=jolist_c_relevance
Python 軟體工程師 - 中階,台灣競遊智慧網路有限公司,,台北市中山區,"月薪50,000元以上",//www.104.com.tw/job/7bwhn?jobsource=jolist_c_relevance
Python工程師(資深工程師),龍騰文化事業股份有限公司,,新北市五股區,待遇面議,//www.104.com.tw/job/7a7ms?jobsource=jolist_c_relevance
python工程師,鈦度科技有限公司,,台北市內湖區,"年薪750,000~800,000元",//www.104.com.tw/job/6xglu?jobsource=jolist_c_relevance
新創電商Backend Engineer (Python),霖園關係企業_神坊資訊股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7aenr?jobsource=jolist_c_relevance
Python Software Engineer,台灣米高蒲志國際股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7c28t?jobsource=jolist_c_relevance
Backend Engineer (PHP/Python),長佳智能股份有限公司,,台中市西區,待遇面議,//www.104.com.tw/job/716px?jobsource=jolist_c_relevance
後端工程師(Python),台灣幣蜂數位有限公司,,台北市內湖區,"月薪60,000~85,000元",//www.104.com.tw/job/7aecq?jobsource=jolist_c_relevance
Python Flask網站開發工程師(台北),紅門互動股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/6xtfl?jobsource=jolist_a_relevance
Big Data Back-End Developer_Python 大數據後端開發工程師,雲端互動股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7bsn0?jobsource=jolist_a_relevance
Python 後端工程師,蓋特資訊系統股份有限公司,,台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/6vdrl?jobsource=jolist_a_relevance
Python 資料科學工程師 - 中階,台灣競遊智慧網路有限公司,,台北市中山區,"月薪60,000元以上",//www.104.com.tw/job/7bwo5?jobsource=jolist_a_relevance
資訊部Python 工程師,童綜合醫療社團法人童綜合醫院,,台中市梧棲區,"月薪35,000~80,000元",//www.104.com.tw/job/6upji?jobsource=jolist_a_relevance
Python 後端工程師 (Junior),金冠科技有限公司,,台北市大安區,"月薪35,000~60,000元",//www.104.com.tw/job/6lw8b?jobsource=jolist_a_relevance
系統部-Python 開發工程師 (可遠距工作/每週進公司開會/全職/限台中) [NO.D5],貸先生資訊平台有限公司,,台中市南區,"月薪60,000~75,000元",//www.104.com.tw/job/7bfnv?jobsource=jolist_a_relevance
Data Engineer 資深數據工程師 / 資深資料工程師 / 主管（Python）,雨林新零售股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/77u0t?jobsource=jolist_a_relevance
軟體工程師(Python或C++或Linux三年以上經驗者),萬潤科技股份有限公司,,高雄市路竹區,待遇面議,//www.104.com.tw/job/72xkz?jobsource=jolist_a_relevance
IT職務類 (實習 Intern): Python programming (一周至少3天) (竹科),"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",,新竹市,時薪160元以上,//www.104.com.tw/job/6yi9b?jobsource=jolist_a_relevance
 【台北內湖】資深Python後端工程師 Python Back-end Engineer (Senior) (月薪7萬-9萬),沛思坦網路股份有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/78ogt?jobsource=jolist_a_relevance
【 2021軟體技術人才招募】Python 工程師,緯創軟體股份有限公司,,新北市汐止區,待遇面議,//www.104.com.tw/job/69za2?jobsource=jolist_a_relevance
Python Web全端開發工程師,麗寶生醫股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/72tjx?jobsource=jolist_a_relevance
Python開發工程師(工作地:新竹工業區_湖口),鴻佰科技股份有限公司,,新竹縣湖口鄉,"月薪35,000~65,000元",//www.104.com.tw/job/75lyf?jobsource=jolist_a_relevance
軟體工程師 (Python),美商連科股份有限公司,,台北市內湖區,"月薪70,000~105,000元",//www.104.com.tw/job/5t1rj?jobsource=jolist_a_relevance
"【工業4.0／智慧製造】智能大數據整合工程師（Python）*到職滿6個月，留任獎金最高11,000* -視訊面試",欣興電子股份有限公司,,桃園市龜山區,"月薪32,000~70,000元",//www.104.com.tw/job/77jj5?jobsource=jolist_a_relevance
Python工程師  (中和辦公室),昇銳電子股份有限公司,,新北市中和區,待遇面議,//www.104.com.tw/job/6zloe?jobsource=jolist_a_relevance
副軟體工程師 (Python),美商連科股份有限公司,,台北市內湖區,"月薪60,000~75,000元",//www.104.com.tw/job/79qh7?jobsource=jolist_a_relevance
新創電商Backend Engineer (Python),霖園關係企業_神坊資訊股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/7aenr?jobsource=jolist_a_relevance
Python程式設計師(副理),綠界科技股份有限公司,,台北市南港區,待遇面議,//www.104.com.tw/job/6yyb2?jobsource=jolist_a_relevance
